Year,reporterDesc,flowDesc,partnerDesc,cmdCode,cmdDesc,qty,primaryValue
2024,Brazil,Export,China,282520,Lithium oxide and hydroxide,6221550,4537890
2024,Australia,Export,China,282520,Lithium oxide and hydroxide,1316630,23683630.57
2024,Australia,Export,Rep. of Korea,282520,Lithium oxide and hydroxide,936554,12504296.34
2024,Canada,Export,USA,282520,Lithium oxide and hydroxide,5,3504.557
2024,Chile,Export,Argentina,282520,Lithium oxide and hydroxide,59000,998410
2024,Chile,Export,Australia,282520,Lithium oxide and hydroxide,20000,260413.79
2024,Chile,Export,Belgium,282520,Lithium oxide and hydroxide,2744900,34117861.41
2024,Chile,Export,Bolivia (Plurinational State of),282520,Lithium oxide and hydroxide,218.125,2585.356
2024,Chile,Export,Brazil,282520,Lithium oxide and hydroxide,204000,3122323.28
2024,Chile,Export,Colombia,282520,Lithium oxide and hydroxide,8000,125738.91
2024,Chile,Export,Indonesia,282520,Lithium oxide and hydroxide,20000,270230.93
2024,Chile,Export,Japan,282520,Lithium oxide and hydroxide,1730380,17476915.39
2024,Chile,Export,Rep. of Korea,282520,Lithium oxide and hydroxide,14267700,168613114.1
2024,Chile,Export,Mexico,282520,Lithium oxide and hydroxide,60000,727482.87
2024,Chile,Export,Peru,282520,Lithium oxide and hydroxide,5080.208,68645.264
2024,Chile,Export,Poland,282520,Lithium oxide and hydroxide,774172,9938091.88
2024,Chile,Export,India,282520,Lithium oxide and hydroxide,440000,4177214.96
2024,Chile,Export,South Africa,282520,Lithium oxide and hydroxide,75000,1573112.87
2024,Chile,Export,Thailand,282520,Lithium oxide and hydroxide,40000,541337.35
2024,Chile,Export,USA,282520,Lithium oxide and hydroxide,676924,8378397.7
2024,Portugal,Export,Spain,282520,Lithium oxide and hydroxide,726,202115.068
2024,Zimbabwe,Export,South Africa,282520,Lithium oxide and hydroxide,100,14.95
2024,USA,Export,Argentina,282520,Lithium oxide and hydroxide,199640,4801227
2024,USA,Export,Australia,282520,Lithium oxide and hydroxide,15,3018
2024,USA,Export,Belgium,282520,Lithium oxide and hydroxide,37474,781542
2024,USA,Export,Brazil,282520,Lithium oxide and hydroxide,93,9421
2024,USA,Export,Canada,282520,Lithium oxide and hydroxide,137596,2299431
2024,USA,Export,Chile,282520,Lithium oxide and hydroxide,1,3709
2024,USA,Export,China,282520,Lithium oxide and hydroxide,1038204,18190382
2024,USA,Export,Colombia,282520,Lithium oxide and hydroxide,16000,536500
2024,USA,Export,Costa Rica,282520,Lithium oxide and hydroxide,700,47160
2024,USA,Export,Ecuador,282520,Lithium oxide and hydroxide,400,54800
2024,USA,Export,France,282520,Lithium oxide and hydroxide,13059,791558
2024,USA,Export,Germany,282520,Lithium oxide and hydroxide,456266,7988010
2024,USA,Export,Guatemala,282520,Lithium oxide and hydroxide,600,36120
2024,USA,Export,Guyana,282520,Lithium oxide and hydroxide,126,3770
2024,USA,Export,Israel,282520,Lithium oxide and hydroxide,150,80323
2024,USA,Export,Italy,282520,Lithium oxide and hydroxide,8160,165630
2024,USA,Export,Japan,282520,Lithium oxide and hydroxide,3789790,80151517
2024,USA,Export,Rep. of Korea,282520,Lithium oxide and hydroxide,2102970,35923197
2024,USA,Export,Mexico,282520,Lithium oxide and hydroxide,10293,156106
2024,USA,Export,Netherlands,282520,Lithium oxide and hydroxide,157702,2940205
2024,USA,Export,Peru,282520,Lithium oxide and hydroxide,6,3145
2024,USA,Export,Poland,282520,Lithium oxide and hydroxide,648149,9363309
2024,USA,Export,Saudi Arabia,282520,Lithium oxide and hydroxide,18000,252000
2024,USA,Export,India,282520,Lithium oxide and hydroxide,38937,503259
2024,USA,Export,Singapore,282520,Lithium oxide and hydroxide,280,27056
2024,USA,Export,South Africa,282520,Lithium oxide and hydroxide,3230,475078
2024,USA,Export,Spain,282520,Lithium oxide and hydroxide,311,97950
2024,USA,Export,Switzerland,282520,Lithium oxide and hydroxide,52,17490
2024,USA,Export,Thailand,282520,Lithium oxide and hydroxide,23850,497490
2024,USA,Export,United Arab Emirates,282520,Lithium oxide and hydroxide,23,3000
2024,USA,Export,United Kingdom,282520,Lithium oxide and hydroxide,45210,3062827
2024,USA,Export,Venezuela,282520,Lithium oxide and hydroxide,506,34320
