typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20070101","2007","52","2007","12","DZA","Algeria","M","Import","0","W00","World","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4007","false","-1","N/A",,"false","4007","false",,"false","46096",,"46096","0","true","false",
"C","A","20070101","2007","52","2007","12","DZA","Algeria","M","Import","156","CHN","China","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1000","false","-1","N/A",,"false","1000","false",,"false","15199",,"15199","0","true","false",
"C","A","20070101","2007","52","2007","12","DZA","Algeria","M","Import","276","DEU","Germany","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6","false","-1","N/A",,"false","6","false",,"false","197",,"197","0","true","false",
"C","A","20070101","2007","52","2007","12","DZA","Algeria","M","Import","568","E19","Other Europe, nes","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","-1","N/A",,"false","1","false",,"false","25",,"25","0","true","false",
"C","A","20070101","2007","52","2007","12","DZA","Algeria","M","Import","643","RUS","Russian Federation","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3000","false","-1","N/A",,"false","3000","false",,"false","30675",,"30675","0","true","false",
"C","A","20070101","2007","52","2007","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","297908","true","-1","N/A",,"false","297908","true",,"false","2739000",,"2739000","6","true","false",
"C","A","20070101","2007","52","2007","32","ARG","Argentina","M","Import","152","CHL","Chile","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","158172","false","-1","N/A",,"false","158172","false",,"false","1211960",,"1211960","0","true","false",
"C","A","20070101","2007","52","2007","32","ARG","Argentina","M","Import","699","IND","India","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0","true","-1","N/A",,"false",,"true",,"false","1",,"1","6","true","false",
"C","A","20070101","2007","52","2007","32","ARG","Argentina","M","Import","826","GBR","United Kingdom","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4","false","-1","N/A",,"false","4","false",,"false","308",,"308","0","true","false",
"C","A","20070101","2007","52","2007","32","ARG","Argentina","M","Import","842","USA","USA","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","139732","true","-1","N/A",,"false","139732","true",,"false","1526731",,"1526731","6","true","false",
"C","A","20070101","2007","52","2007","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","196449","false","-1","N/A",,"false","196449","false",,"false",,"1241858","1241858","0","true","false",
"C","A","20070101","2007","52","2007","36","AUS","Australia","M","Import","56","BEL","Belgium","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","36650","false","-1","N/A",,"false","36650","false",,"false",,"268976","268976","0","true","false",
"C","A","20070101","2007","52","2007","36","AUS","Australia","M","Import","152","CHL","Chile","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","54970","false","-1","N/A",,"false","54970","false",,"false",,"414281","414281","0","true","false",
"C","A","20070101","2007","52","2007","36","AUS","Australia","M","Import","156","CHN","China","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","25312","false","-1","N/A",,"false","25312","false",,"false",,"101427","101427","0","true","false",
"C","A","20070101","2007","52","2007","36","AUS","Australia","M","Import","764","THA","Thailand","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5040","false","-1","N/A",,"false","5040","false",,"false",,"41326","41326","0","true","false",
"C","A","20070101","2007","52","2007","36","AUS","Australia","M","Import","842","USA","USA","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","74477","false","-1","N/A",,"false","74477","false",,"false",,"415848","415848","0","true","false",
"C","A","20070101","2007","52","2007","40","AUT","Austria","M","Import","0","W00","World","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","23910","true","-1","N/A",,"false","23910","true",,"false","245526",,"245526","6","true","false",
"C","A","20070101","2007","52","2007","40","AUT","Austria","M","Import","251","FRA","France","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10","true","-1","N/A",,"false","10","true",,"false","106",,"106","6","true","false",
"C","A","20070101","2007","52","2007","40","AUT","Austria","M","Import","276","DEU","Germany","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","23500","false","-1","N/A",,"false","23500","false",,"false","243059",,"243059","0","true","false",
"C","A","20070101","2007","52","2007","40","AUT","Austria","M","Import","757","CHE","Switzerland","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","300","false","-1","N/A",,"false","300","false",,"false","963",,"963","0","true","false",
"C","A","20070101","2007","52","2007","40","AUT","Austria","M","Import","842","USA","USA","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","100","false","-1","N/A",,"false","100","false",,"false","1399",,"1399","0","true","false",
"C","A","20070101","2007","52","2007","50","BGD","Bangladesh","M","Import","0","W00","World","0","W00","World","H2","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","750","false","-1","N/A",,"false","750","false",,"false","10345",,"10345","0","true","false",
"C","A","20070101","2007","52","2007","50","BGD","Bangladesh","M","Import","156","CHN","China","0","W00","World","H2","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","550","false","-1","N/A",,"false","550","false",,"false","6609",,"6609","0","true","false",
"C","A","20070101","2007","52","2007","50","BGD","Bangladesh","M","Import","699","IND","India","0","W00","World","H2","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","200","false","-1","N/A",,"false","200","false",,"false","3735",,"3735","0","true","false",
"C","A","20070101","2007","52","2007","56","BEL","Belgium","M","Import","0","W00","World","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1784853","false","-1","N/A",,"false","1784853","false",,"false","10817717",,"10817717","0","true","false",
"C","A","20070101","2007","52","2007","56","BEL","Belgium","M","Import","152","CHL","Chile","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1552985","false","-1","N/A",,"false","1552985","false",,"false","9224245",,"9224245","0","true","false",
"C","A","20070101","2007","52","2007","56","BEL","Belgium","M","Import","156","CHN","China","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","43000","false","-1","N/A",,"false","43000","false",,"false","305083",,"305083","0","true","false",
