typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20210101","2021","52","2021","152","CHL","Chile","X","Export","0","W00","World","0","W00","World","H5","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11264319","false","8","kg","11264319","false","11264319","false","0","false","0","95647936","95647936","0","false","true",
"C","A","20210101","2021","52","2021","152","CHL","Chile","X","Export","32","ARG","Argentina","0","W00","World","H5","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","147000","false","8","kg","147000","false","147000","false","0","false","0","1545239","1545239","0","true","false",
"C","A","20210101","2021","52","2021","152","CHL","Chile","X","Export","56","BEL","Belgium","0","W00","World","H5","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","360000","false","8","kg","360000","false","360000","false","0","false","0","3173149","3173149","0","true","false",
"C","A","20210101","2021","52","2021","152","CHL","Chile","X","Export","156","CHN","China","0","W00","World","H5","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1476304","false","8","kg","1476304","false","1476304","false","0","false","0","12841567","12841567","0","true","false",
"C","A","20210101","2021","52","2021","152","CHL","Chile","X","Export","170","COL","Colombia","0","W00","World","H5","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","28000","false","8","kg","28000","false","28000","false","0","false","0","291900","291900","0","true","false",
"C","A","20210101","2021","52","2021","152","CHL","Chile","X","Export","392","JPN","Japan","0","W00","World","H5","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","792000","false","8","kg","792000","false","792000","false","0","false","0","6657620","6657620","0","true","false",
"C","A","20210101","2021","52","2021","152","CHL","Chile","X","Export","410","KOR","Rep. of Korea","0","W00","World","H5","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7139036","false","8","kg","7139036","false","7139036","false","0","false","0","58762435","58762435","0","true","false",
"C","A","20210101","2021","52","2021","152","CHL","Chile","X","Export","484","MEX","Mexico","0","W00","World","H5","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","140000","false","8","kg","140000","false","140000","false","0","false","0","1349931","1349931","0","true","false",
"C","A","20210101","2021","52","2021","152","CHL","Chile","X","Export","604","PER","Peru","0","W00","World","H5","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","60000","false","8","kg","60000","false","60000","false","0","false","0","639708","639708","0","true","false",
"C","A","20210101","2021","52","2021","152","CHL","Chile","X","Export","710","ZAF","South Africa","0","W00","World","H5","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","60000","false","8","kg","60000","false","60000","false","0","false","0","454189","454189","0","true","false",
"C","A","20210101","2021","52","2021","152","CHL","Chile","X","Export","842","USA","USA","0","W00","World","H5","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1061979","false","8","kg","1061979","false","1061979","false","0","false","0","9932198","9932198","0","true","false",
"C","A","20220101","2022","52","2022","152","CHL","Chile","X","Export","0","W00","World","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","15213149","false","8","kg","15213149","false","15213149","false","0","false",,"585228729.871","585228729.871","0","false","true",
"C","A","20220101","2022","52","2022","152","CHL","Chile","X","Export","32","ARG","Argentina","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","72000","false","8","kg","72000","false","72000","false","0","false",,"3531393.12","3531393.12","0","true","false",
"C","A","20220101","2022","52","2022","152","CHL","Chile","X","Export","56","BEL","Belgium","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","550000","false","8","kg","550000","false","550000","false","0","false",,"23607875.88","23607875.88","0","true","false",
"C","A","20220101","2022","52","2022","152","CHL","Chile","X","Export","68","BOL","Bolivia (Plurinational State of)","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","40","false","8","kg","40","false","40","false","0","false",,"4975.451","4975.451","0","true","false",
"C","A","20220101","2022","52","2022","152","CHL","Chile","X","Export","124","CAN","Canada","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","250","false","8","kg","250","false","250","false","0","false",,"9750","9750","0","true","false",
"C","A","20220101","2022","52","2022","152","CHL","Chile","X","Export","156","CHN","China","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","407004","false","8","kg","407004","false","407004","false","0","false",,"26857503.5","26857503.5","0","true","false",
"C","A","20220101","2022","52","2022","152","CHL","Chile","X","Export","170","COL","Colombia","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","22000","false","8","kg","22000","false","22000","false","0","false",,"1315819.57","1315819.57","0","true","false",
"C","A","20220101","2022","52","2022","152","CHL","Chile","X","Export","392","JPN","Japan","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","452000","false","8","kg","452000","false","452000","false","0","false",,"22515856.25","22515856.25","0","true","false",
"C","A","20220101","2022","52","2022","152","CHL","Chile","X","Export","410","KOR","Rep. of Korea","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12168666","false","8","kg","12168666","false","12168666","false","0","false",,"430814121.69","430814121.69","0","true","false",
"C","A","20220101","2022","52","2022","152","CHL","Chile","X","Export","484","MEX","Mexico","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20000","false","8","kg","20000","false","20000","false","0","false",,"994562.96","994562.96","0","true","false",
"C","A","20220101","2022","52","2022","152","CHL","Chile","X","Export","604","PER","Peru","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5002","false","8","kg","5002","false","5002","false","0","false",,"394156.69","394156.69","0","true","false",
"C","A","20220101","2022","52","2022","152","CHL","Chile","X","Export","710","ZAF","South Africa","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","80000","false","8","kg","80000","false","80000","false","0","false",,"4034330.11","4034330.11","0","true","false",
"C","A","20220101","2022","52","2022","152","CHL","Chile","X","Export","842","USA","USA","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1436187","false","8","kg","1436187","false","1436187","false","0","false",,"71148384.65","71148384.65","0","true","false",
"C","A","20230101","2023","52","2023","152","CHL","Chile","X","Export","0","W00","World","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","5487607.529","false",,"false","0","false",,"1010433283.239","1010433283.239","0","false","true",
"C","A","20230101","2023","52","2023","152","CHL","Chile","X","Export","32","ARG","Argentina","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","0.065","false",,"false","0","false",,"4044531.2","4044531.2","0","true","false",
"C","A","20230101","2023","52","2023","152","CHL","Chile","X","Export","56","BEL","Belgium","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1322692.152","true","8","kg","320001.022","false","1322692.152","true","0","false",,"58483364.34","58483364.34","6","true","false",
"C","A","20230101","2023","52","2023","152","CHL","Chile","X","Export","68","BOL","Bolivia (Plurinational State of)","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","113.838","true","8","kg","0","false","113.838","true","0","false",,"5636.228","5636.228","6","true","false",
"C","A","20230101","2023","52","2023","152","CHL","Chile","X","Export","76","BRA","Brazil","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5000","false","8","kg","5000","false","5000","false","0","false",,"172341.85","172341.85","0","true","false",
"C","A","20230101","2023","52","2023","152","CHL","Chile","X","Export","156","CHN","China","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","0.622","false",,"false","0","false",,"29240651.72","29240651.72","0","true","false",
