refYear,reporterDesc,flowDesc,partnerDesc,cmdCode,cmdDesc,qty,primaryValue
2020,Australia,Export,New Zealand,282520,Lithium oxide and hydroxide,22.5,1453.459
2020,Australia,Export,Viet Nam,282520,Lithium oxide and hydroxide,138,6296.947
2020,Brazil,Export,Bolivia (Plurinational State of),282520,Lithium oxide and hydroxide,700,274
2020,Canada,Export,China,282520,Lithium oxide and hydroxide,37603,80049.801
2020,Canada,Export,France,282520,Lithium oxide and hydroxide,40970,88283.764
2020,Canada,Export,Japan,282520,Lithium oxide and hydroxide,6574,14166.919
2020,Canada,Export,Switzerland,282520,Lithium oxide and hydroxide,18,38.027
2020,Canada,Export,USA,282520,Lithium oxide and hydroxide,917,5143.337
2020,Chile,Export,Argentina,282520,Lithium oxide and hydroxide,72000,738207
2020,Chile,Export,Australia,282520,Lithium oxide and hydroxide,100,1168.43
2020,Chile,Export,Belgium,282520,Lithium oxide and hydroxide,230000,1774478.26
2020,Chile,Export,Canada,282520,Lithium oxide and hydroxide,40000,355768.96
2020,Chile,Export,China,282520,Lithium oxide and hydroxide,325500,1214867.27
2020,Chile,Export,Colombia,282520,Lithium oxide and hydroxide,19000,206681.25
2020,Chile,Export,Japan,282520,Lithium oxide and hydroxide,441000,4041863.68
2020,Chile,Export,Rep. of Korea,282520,Lithium oxide and hydroxide,6660750,38805541.34
2020,Chile,Export,Netherlands,282520,Lithium oxide and hydroxide,50,716.04
2020,Chile,Export,Peru,282520,Lithium oxide and hydroxide,21000,149295.02
2020,Chile,Export,Russian Federation,282520,Lithium oxide and hydroxide,270000,1192094.04
2020,Chile,Export,India,282520,Lithium oxide and hydroxide,540000,2158537.83
2020,Chile,Export,South Africa,282520,Lithium oxide and hydroxide,60000,522450.25
2020,Chile,Export,USA,282520,Lithium oxide and hydroxide,650384,5309733.75
2020,China,Export,Argentina,282520,Lithium oxide and hydroxide,5000,40440
2020,China,Export,Australia,282520,Lithium oxide and hydroxide,36001,261505
2020,China,Export,Bangladesh,282520,Lithium oxide and hydroxide,5250,47628
2020,China,Export,Canada,282520,Lithium oxide and hydroxide,31000,204809
2020,China,Export,Chile,282520,Lithium oxide and hydroxide,12,115
2020,China,Export,Cuba,282520,Lithium oxide and hydroxide,20000,125635
2020,China,Export,France,282520,Lithium oxide and hydroxide,133500,961298
2020,China,Export,Germany,282520,Lithium oxide and hydroxide,46879,314996
2020,China,Export,"China, Hong Kong SAR",282520,Lithium oxide and hydroxide,2000,18400
2020,China,Export,Indonesia,282520,Lithium oxide and hydroxide,57500,499811
2020,China,Export,Iraq,282520,Lithium oxide and hydroxide,25000,170250
2020,China,Export,Japan,282520,Lithium oxide and hydroxide,25979404.21,234279106
