typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20230101","2023","52","2023","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1397070","false","8","kg","1397070","false","1397070","false","1421390","false",,"28364503.99","28364503.99","0","false","true",
"C","A","20230101","2023","52","2023","36","AUS","Australia","X","Export","156","CHN","China","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1387130","false","8","kg","1387130","false","1387130","false","1411450","false",,"28046808.111","28046808.111","0","false","true",
"C","A","20230101","2023","52","2023","36","AUS","Australia","X","Export","410","KOR","Rep. of Korea","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9000","false","8","kg","9000","false","9000","false","9000","false",,"275137.828","275137.828","0","false","true",
"C","A","20230101","2023","52","2023","36","AUS","Australia","X","Export","752","SWE","Sweden","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","940","false","8","kg","940","false","940","false","940","false",,"42558.052","42558.052","0","false","true",
"C","A","20230101","2023","52","2023","124","CAN","Canada","X","Export","0","W00","World","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","85096","false","8","kg","85096","false","85096","false","0","false",,"4779112.291","4779112.291","0","false","true",
"C","A","20230101","2023","52","2023","124","CAN","Canada","X","Export","156","CHN","China","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","36570","false","8","kg","36570","false","36570","false","0","false",,"77311.898","77311.898","0","false","true",
"C","A","20230101","2023","52","2023","124","CAN","Canada","X","Export","251","FRA","France","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","44672","false","8","kg","44672","false","44672","false","0","false",,"4689069.161","4689069.161","0","false","true",
"C","A","20230101","2023","52","2023","124","CAN","Canada","X","Export","276","DEU","Germany","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","46","false","8","kg","46","false","46","false","0","false",,"98.525","98.525","0","false","true",
"C","A","20230101","2023","52","2023","124","CAN","Canada","X","Export","376","ISR","Israel","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2317","false","8","kg","2317","false","2317","false","0","false",,"4960.336","4960.336","0","false","true",
"C","A","20230101","2023","52","2023","124","CAN","Canada","X","Export","724","ESP","Spain","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1211","false","8","kg","1211","false","1211","false","0","false",,"2592.768","2592.768","0","false","true",
